id,destinacija,datum,dan,cas 
v9950,Rome Fiumicino,8/2/2023,SRE,1:0
v9951,Rome Fiumicino,9/2/2023,CET,1:0
v9952,Rome Fiumicino,10/2/2023,PET,1:0
v9953,Rome Fiumicino,11/2/2023,SOB,1:0
v9954,Rome Fiumicino,12/2/2023,NED,1:0
v9955,Rome Fiumicino,13/2/2023,PON,1:0
v9956,Rome Fiumicino,14/2/2023,TOR,1:0
v9957,Rome Fiumicino,15/2/2023,SRE,1:0
v9958,Rome Fiumicino,16/2/2023,CET,1:0
v9959,Rome Fiumicino,17/2/2023,PET,1:0
v9960,Rome Fiumicino,18/2/2023,SOB,1:0
v9961,Rome Fiumicino,19/2/2023,NED,1:0
v9962,Rome Fiumicino,20/2/2023,PON,1:0
v9963,Rome Fiumicino,21/2/2023,TOR,1:0
v9964,Rome Fiumicino,22/2/2023,SRE,1:0
v9965,Rome Fiumicino,23/2/2023,CET,1:0
v9966,Rome Fiumicino,24/2/2023,PET,1:0
v9967,Rome Fiumicino,25/2/2023,SOB,1:0
v9968,Rome Fiumicino,26/2/2023,NED,1:0
v9969,Rome Fiumicino,27/2/2023,PON,1:0
v9970,Rome Fiumicino,28/2/2023,TOR,1:0
v9971,Rome Fiumicino,1/3/2023,SRE,1:0
v9972,Rome Fiumicino,2/3/2023,CET,1:0
v9973,Rome Fiumicino,3/3/2023,PET,1:0
v9974,Rome Fiumicino,4/3/2023,SOB,1:0
v9975,Rome Fiumicino,5/3/2023,NED,1:0
v9976,Rome Fiumicino,6/3/2023,PON,1:0
v9977,Rome Fiumicino,7/3/2023,TOR,1:0
v9978,Rome Fiumicino,8/3/2023,SRE,1:0
v9979,Rome Fiumicino,9/3/2023,CET,1:0
v9980,Rome Fiumicino,10/3/2023,PET,1:0
v9981,Rome Fiumicino,11/3/2023,SOB,1:0
v9982,Rome Fiumicino,12/3/2023,NED,1:0
v9983,Rome Fiumicino,13/3/2023,PON,1:0
v9984,Rome Fiumicino,14/3/2023,TOR,1:0
v9985,Rome Fiumicino,15/3/2023,SRE,1:0
v9986,Rome Fiumicino,16/3/2023,CET,1:0
v9987,Rome Fiumicino,17/3/2023,PET,1:0
v9988,Rome Fiumicino,18/3/2023,SOB,1:0
v9989,Rome Fiumicino,19/3/2023,NED,1:0
v9990,Rome Fiumicino,20/3/2023,PON,1:0
v9991,Rome Fiumicino,21/3/2023,TOR,1:0
v9992,Rome Fiumicino,22/3/2023,SRE,1:0
v9993,Rome Fiumicino,23/3/2023,CET,1:0
v9994,Rome Fiumicino,24/3/2023,PET,1:0
v9995,Rome Fiumicino,25/3/2023,SOB,1:0
v9996,Rome Fiumicino,13/11/2022,NED,1:0
v9997,Rome Fiumicino,14/11/2022,PON,1:0
v9998,Rome Fiumicino,15/11/2022,TOR,1:0
v9999,Rome Fiumicino,16/11/2022,SRE,1:0
v10000,Rome Fiumicino,17/11/2022,CET,1:0
v10001,Rome Fiumicino,18/11/2022,PET,1:0
v10002,Rome Fiumicino,19/11/2022,SOB,1:0
v10003,Rome Fiumicino,20/11/2022,NED,1:0
v10004,Rome Fiumicino,21/11/2022,PON,1:0
v10005,Rome Fiumicino,22/11/2022,TOR,1:0
v10006,Rome Fiumicino,23/11/2022,SRE,1:0
v10007,Rome Fiumicino,24/11/2022,CET,1:0
v10008,Rome Fiumicino,25/11/2022,PET,1:0
v10009,Rome Fiumicino,26/11/2022,SOB,1:0
v10010,Rome Fiumicino,27/11/2022,NED,1:0
v10011,Rome Fiumicino,28/11/2022,PON,1:0
v10012,Rome Fiumicino,29/11/2022,TOR,1:0
v10013,Rome Fiumicino,30/11/2022,SRE,1:0
v10014,Rome Fiumicino,1/12/2022,CET,1:0
v10015,Rome Fiumicino,2/12/2022,PET,1:0
v10016,Rome Fiumicino,3/12/2022,SOB,1:0
v10017,Rome Fiumicino,4/12/2022,NED,1:0
v10018,Rome Fiumicino,5/12/2022,PON,1:0
v10019,Rome Fiumicino,6/12/2022,TOR,1:0
v10020,Rome Fiumicino,7/12/2022,SRE,1:0
v10021,Rome Fiumicino,8/12/2022,CET,1:0
v10022,Rome Fiumicino,9/12/2022,PET,1:0
v10023,Rome Fiumicino,10/12/2022,SOB,1:0
v10024,Rome Fiumicino,11/12/2022,NED,1:0
v10025,Rome Fiumicino,12/12/2022,PON,1:0
v10026,Rome Fiumicino,13/12/2022,TOR,1:0
v10027,Rome Fiumicino,14/12/2022,SRE,1:0
v10028,Rome Fiumicino,15/12/2022,CET,1:0
v10029,Rome Fiumicino,16/12/2022,PET,1:0
v10030,Rome Fiumicino,17/12/2022,SOB,1:0
v10031,Rome Fiumicino,18/12/2022,NED,1:0
v10032,Rome Fiumicino,19/12/2022,PON,1:0
v10033,Rome Fiumicino,20/12/2022,TOR,1:0
v10034,Rome Fiumicino,21/12/2022,SRE,1:0
